C.A.,año,tipo de cultivo,litros de agua
Castilla-La Mancha,2005,Olivar y Viñedo,540614
Castilla-La Mancha,2005,Patatas y hortalizas,229445
Castilla-La Mancha,2005,Otros tipos de cultivos,68545
Castilla-La Mancha,2006,Herbáceos,795678
Castilla-La Mancha,2006,Frutales,38577
Castilla-La Mancha,2006,Olivar y Viñedo,632060
Castilla-La Mancha,2006,Patatas y hortalizas,220767
Castilla-La Mancha,2006,Otros tipos de cultivos,35184
Castilla-La Mancha,2007,Herbáceos,808710
Castilla-La Mancha,2007,Frutales,28809
Castilla-La Mancha,2007,Olivar y Viñedo,536553
Castilla-La Mancha,2007,Patatas y hortalizas,310950
Castilla-La Mancha,2007,Otros tipos de cultivos,71743
Castilla-La Mancha,2008,Herbáceos,736304
Castilla-La Mancha,2008,Frutales,33328
Castilla-La Mancha,2008,Olivar y Viñedo,512768
Castilla-La Mancha,2008,Patatas y hortalizas,236801
Castilla-La Mancha,2008,Otros tipos de cultivos,42210
Castilla-La Mancha,2009,Herbáceos,820271
Castilla-La Mancha,2009,Frutales,37440
Castilla-La Mancha,2009,Olivar y Viñedo,590384
Castilla-La Mancha,2009,Patatas y hortalizas,277021
Castilla-La Mancha,2009,Otros tipos de cultivos,79416
Castilla-La Mancha,2010,Herbáceos,816653
Castilla-La Mancha,2010,Frutales,40289
Castilla-La Mancha,2010,Olivar y Viñedo,569723
Castilla-La Mancha,2010,Patatas y hortalizas,191321
Castilla-La Mancha,2010,Otros tipos de cultivos,61926
Castilla-La Mancha,2011,Herbáceos,923977
Castilla-La Mancha,2011,Frutales,114190
Castilla-La Mancha,2011,Olivar y Viñedo,107849
Castilla-La Mancha,2011,Patatas y hortalizas,235960
Castilla-La Mancha,2011,Otros tipos de cultivos,75508
Castilla-La Mancha,2012,Herbáceos,1167572
Castilla-La Mancha,2012,Frutales,124209
Castilla-La Mancha,2012,Olivar y Viñedo,129533
Castilla-La Mancha,2012,Patatas y hortalizas,276810
Castilla-La Mancha,2012,Otros tipos de cultivos,76301
Castilla-La Mancha,2013,Herbáceos,1107916
Castilla-La Mancha,2013,Frutales,102942
Castilla-La Mancha,2013,Olivar y Viñedo,89137
Castilla-La Mancha,2013,Patatas y hortalizas,236379
Castilla-La Mancha,2013,Otros tipos de cultivos,58147
Castilla-La Mancha,2014,Herbáceos,1002718
Castilla-La Mancha,2014,Frutales,29085
Castilla-La Mancha,2014,Olivar y Viñedo,55400
Castilla-La Mancha,2014,Patatas y hortalizas,217445
Castilla-La Mancha,2014,Otros tipos de cultivos,80330
Castilla-La Mancha,2015,Herbáceos,921764
Castilla-La Mancha,2015,Frutales,27451
Castilla-La Mancha,2015,Olivar y Viñedo,86686
Castilla-La Mancha,2015,Patatas y hortalizas,332297
Castilla-La Mancha,2015,Otros tipos de cultivos,77779
Castilla-La Mancha,2016,Herbáceos,1090472
Castilla-La Mancha,2016,Frutales,29785
Castilla-La Mancha,2016,Olivar y Viñedo,99284
Castilla-La Mancha,2016,Patatas y hortalizas,359078
Castilla-La Mancha,2016,Otros tipos de cultivos,76414
